EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
200612.6585,7710799.826,35184436.84,1237449.438,294705.6664,8812519.508,45472140.07,239671.5009,1257907.448,2356497.733,-6009930.409,-6816681.404,41309820.53,68725724.78,6298390.104,15057615.24,Aceptado
74370.98344,2213115.804,14850232.83,133553.0669,400010.9174,8491850.953,15732539.68,94809.20697,670898.5232,2301151.028,-7980961.883,-3342451.935,26923636.74,35882739.46,11935512.83,10851563.46,Aceptado
5269986.918,28931194.63,398335.1701,15330613.03,3478673.115,-13932286.83,19221732.63,610814.6399,10099371.73,1444426.243,15319665.77,-4026343.953,120020950.8,329233683.5,11005322.05,8680734.851,Sospechoso
909213.4473,11450924.96,9577822.891,1068692.409,1302021.086,1379063.945,17786625.71,175859.8507,2378927.851,1236065.779,7803149.198,-4567434.952,76310275.6,117548177,5587897.536,13232671.44,Aceptado
968866.8993,8539205.63,3898282.548,416873.3265,1420050.089,-629717.8548,7620711.462,116647.7396,1798064.624,3657339.603,770284.5004,-711032.0155,62901614.29,36142598.75,6850340.403,11000477.09,Aceptado
1773585.004,77651817.37,61142290.58,723278.7994,1027126.887,4234019.828,97047908.37,783139.7306,2590328.307,7179441.092,18689654.33,-2969675.802,396207900.9,217255661.2,58571232.04,58525101.92,Aceptado
1823218.638,9184535.806,208891.9865,9368769.513,1334773.611,-8602278.381,8468829.379,253167.7528,4966997.762,528106.1374,6189959.378,-3242946.207,39979300.88,35887817.17,2835825.963,3404082.712,Sospechoso
2012121.618,44994506.72,36296946.44,13835507.31,1445615.994,6183587.529,90585154.76,3228281.186,9338428.196,8995960.551,13269904.62,-2885975.948,208361113.3,127293927.7,45965630.47,35826349.54,Aceptado
2083013.127,5642930.368,477779.3085,1029408.62,428578.6139,-4593900.88,6333387.074,327404.9065,1199689.86,10939232.69,-4110542.445,471708.9116,11514028.32,14801001.16,6585251.031,14573571.29,Aceptado
894677.3106,54632064.27,22258894.29,12785040.76,3773400.013,3124556.798,85455687.96,195656.3051,2055115.099,132942.9546,19204093.6,-2650300.767,469227170.9,235738138.6,51854423.66,41550254.51,Aceptado
426090.4436,6136600.64,239653.8779,735799.3932,1067854.412,-7103518.802,2662149.216,65044.03478,337264.8545,51978.27709,8084576.99,-765915.867,54878600.4,17642287.13,5304115.47,7163187.438,Aceptado
845023.601,38240170.21,26468120.81,1346657.411,291175.5931,4851039.19,74899207.73,200477.1846,2665407.047,3055945.403,4207408.246,-5377807.141,98465064.61,169881307,35902570.89,31364780.74,Aceptado
612018.7449,694622.4361,1447241.235,80245.64139,248527.6953,412675.8463,2385184.776,102608.1694,386850.0955,5106132.277,-9134566.2,409183.5666,10188664.27,11285216.19,8355135.133,9415842.617,Aceptado
310540.7709,455349.8996,99628.44081,140058.5747,382243.0422,-1927167.012,734427.3912,68781.09939,568804.3225,1968720.052,-8481412.565,-68108.87368,6922910.514,5971837.307,1801355.174,2136873.294,Aceptado
4308351.791,45696352.03,13194432.17,6626222.449,3033468.048,-7287484.738,54723577.29,599005.7876,10764559.57,3551807.653,17751668.26,-2351166.541,235816492.2,400557184.7,46477652.07,29852990.61,Aceptado
156568.8804,3722566.636,12776394.47,368753.6718,774257.9278,8583450.376,11664637.27,193741.5542,293097.8969,7329381.796,-13428085.28,-451427.942,23729436.4,26857402.85,13053254.61,19455153.75,Aceptado
2142342.538,19419403.35,41052727.02,265570.5853,633087.4902,5427031.027,38497839.9,690946.0514,5830260.314,11983179.4,6116364.001,-3249287.783,155048701.8,58043486.53,14142996.19,18530112.35,Aceptado
740315.1793,8869420.665,5297630.377,982012.965,1312071.803,3291607.29,15662159.24,101777.1515,862212.2212,3408893.806,-5152677.176,-879681.1798,46269160.22,73258806.69,15881884.71,20449692.75,Aceptado
757177.9293,17393010.21,13529073.34,3184597.239,1676629.324,631020.1379,22557859.71,1609495.762,3512755.445,767940.0898,17037343.98,-5626171.924,124338760.7,238080007.6,16079358.12,15612579.23,Sospechoso
1899606.785,8260726.182,60344.20238,1200693.751,532610.5636,-12653301.87,4824853.273,256240.9733,381189.0033,1102582.718,6777020.307,-925889.4693,31086289.83,33127160.17,7068352.617,12134861.71,Aceptado
11965664.96,69304196.76,58571006.64,3207225.7,2230173.899,614870.2501,96612525.58,802335.0399,6928451.568,11088199.15,10852722.35,-1616714.281,388437658.6,461396531.1,72914673.57,57881539.69,Aceptado
20589302.89,64835733.31,5169725.482,323165772.6,3441713.293,-12300886.55,70362659.48,3812367.84,14593898.68,1411630.819,24599798.72,-6208035.345,209561013.3,1018728273,21419962.52,26296978,Aceptado
438037.2152,2866063.334,885891.7671,841431.6274,2336603.607,-1195022.662,5747918.352,50372.09793,1603489.114,769113.782,-3530653.018,-463520.4841,43414141.21,55287629.38,12339588.83,7612122.812,Aceptado
2403650.982,30591580.27,19193205.98,7177530.229,505798.8163,1993815.983,57694709.25,771379.2511,4491598.701,2547999.405,11370355.98,-6234804.196,86064693.56,174434663.5,13761621.3,24451679.41,Aceptado
1339218.225,1480668.48,318324.4478,121672.6908,287331.9632,-6772127.387,598281.2619,471175.6704,1027795.459,10965749.8,-3575567.613,735983.9037,7260895.479,6912429.675,3798574.148,6070173.257,Aceptado
953951.0315,13341583.52,2496878.381,66613.21726,1755309.384,-10880101.13,7056348.156,81463.89268,761710.6431,2073766.407,16222882.03,259367.1607,139233371.2,73314264.47,19514886.82,22766954.39,Aceptado
57155.67719,1633609.974,1429742.208,477728.5994,658574.0359,6695956.281,8049662.692,37372.13606,535209.041,60080.81786,206457.8763,-3238683.854,33236114.29,11672357.82,2716168.594,3472763.991,Aceptado
2398005.776,28851889.94,6799360.109,12462877.88,2818744.16,-3938486.068,24397033.6,492840.47,987931.4972,419111.7324,13540780.38,-859789.2347,182867869.2,154401141.5,32916471.73,34989061.79,Aceptado
2723236.353,12753417.92,3065788.471,3176916.341,1525805.642,-7178875.518,18699516.13,123971.8476,1811801.127,246754.1289,8397968.557,-3776209.591,105649944.8,130640663.8,9032245.837,13568874.11,Sospechoso
