EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
,7710799.826,,1237449.438,294705.6664,8812519.508,45472140.07,239671.5009,1257907.4479999999,2356497.733,-6009930.409,-6816681.404,41309820.53,68725724.78,6298390.103999999,15057615.24,Aceptado
74370.98344,2213115.804,,133553.0669,400010.9174,8491850.953,15732539.68,94809.20697,670898.5232,,-7980961.882999999,-3342451.935,,35882739.46,,10851563.46,Aceptado
5269986.9180000005,28931194.63,398335.1701,15330613.03,3478673.115,-13932286.83,,610814.6399,10099371.73,1444426.243,,-4026343.953,,329233683.5,,8680734.851,Sospechoso
909213.4473,11450924.96,9577822.891,1068692.409,1302021.086,1379063.945,,,2378927.851,1236065.779,,-4567434.952,76310275.6,,,13232671.44,Aceptado
968866.8993,8539205.63,3898282.548,416873.3265,,-629717.8548,7620711.462,116647.7396,1798064.624,3657339.603,770284.5004,-711032.0155,62901614.29,36142598.75,6850340.403,11000477.09,Aceptado
1773585.004,,61142290.58,723278.7994,1027126.887,4234019.828,97047908.37,783139.7306,2590328.307,7179441.092,18689654.33,-2969675.8019999997,396207900.9,217255661.2,58571232.04,58525101.92,Aceptado
,,208891.9865,9368769.513,1334773.611,-8602278.381000001,8468829.379,253167.7528,4966997.762,528106.1374,6189959.378,-3242946.207,39979300.88,35887817.17,2835825.963,3404082.712,Sospechoso
2012121.618,44994506.72,36296946.44,13835507.31,,6183587.529,90585154.76,3228281.186,9338428.196,8995960.551,13269904.62,,208361113.3,127293927.7,45965630.47,35826349.54,Aceptado
2083013.1269999999,5642930.368,477779.3085,1029408.62,428578.6139,-4593900.88,6333387.074,,1199689.86,10939232.69,-4110542.445,471708.9116,11514028.32,14801001.16,6585251.031,14573571.29,Aceptado
894677.3106,54632064.27,,12785040.76,3773400.0130000003,3124556.798,85455687.96,195656.3051,2055115.0990000002,132942.9546,19204093.6,-2650300.767,469227170.9,235738138.6,51854423.66,41550254.51,Aceptado
426090.4436,6136600.64,239653.8779,735799.3932,1067854.412,-7103518.802,2662149.216,65044.034779999994,,,8084576.99,-765915.8670000001,54878600.4,17642287.13,5304115.47,7163187.437999999,Aceptado
845023.6009999999,38240170.21,26468120.81,1346657.4109999998,291175.5931,,74899207.73,200477.1846,2665407.047,3055945.403,4207408.246,-5377807.141,98465064.61,169881307.0,35902570.89,31364780.74,Aceptado
612018.7449,694622.4361,,80245.64139,248527.6953,412675.8463,2385184.776,102608.1694,386850.0955,5106132.277,-9134566.2,409183.5666,,11285216.19,8355135.132999999,9415842.617,Aceptado
310540.7709,455349.8996,,,382243.0422,,,,,1968720.052,-8481412.565,-68108.87367999999,6922910.5139999995,5971837.307,1801355.174,2136873.294,Aceptado
4308351.791,45696352.03,13194432.17,6626222.449,3033468.048,,,599005.7876,10764559.57,,17751668.26,-2351166.5409999997,235816492.2,,46477652.07,29852990.61,Aceptado
,3722566.6360000004,12776394.47,368753.6718,774257.9278,8583450.376,,193741.5542,293097.8969,7329381.796,-13428085.28,-451427.94200000004,23729436.4,26857402.85,,19455153.75,Aceptado
2142342.538,19419403.35,41052727.02,,633087.4902,5427031.027000001,38497839.9,690946.0514,5830260.313999999,11983179.4,6116364.001,-3249287.7830000003,155048701.8,58043486.53,14142996.19,18530112.35,Aceptado
740315.1793,8869420.665,5297630.377,982012.965,1312071.803,3291607.29,15662159.24,101777.1515,862212.2212,3408893.8060000003,-5152677.176,-879681.1798,,73258806.69,15881884.71,20449692.75,Aceptado
1899606.785,8260726.182,,1200693.751,532610.5636,-12653301.87,4824853.273,256240.9733,381189.0033,1102582.7179999999,6777020.307,,31086289.83,33127160.17,7068352.617000001,12134861.71,Aceptado
11965664.96,69304196.76,58571006.64,3207225.7,2230173.899,614870.2501,96612525.58,802335.0399,6928451.568,,10852722.35,-1616714.281,388437658.6,461396531.1,72914673.57,,Aceptado
20589302.89,64835733.31,5169725.482,323165772.6,3441713.293,,70362659.48,3812367.84,14593898.68,1411630.8190000001,24599798.72,-6208035.345,,1018728273.0,21419962.52,26296978.0,Aceptado
438037.2152,,885891.7671,841431.6274,2336603.607,-1195022.662,5747918.352000001,50372.09793,1603489.114,769113.782,-3530653.018,-463520.4841,43414141.21,55287629.38,12339588.83,7612122.812000001,Aceptado
2403650.982,30591580.27,,7177530.228999999,505798.8163,,57694709.25,771379.2511,4491598.701,2547999.405,11370355.98,,86064693.56,174434663.5,13761621.3,24451679.41,Aceptado
1339218.225,1480668.48,318324.4478,121672.6908,287331.9632,,598281.2619,471175.6704,1027795.459,10965749.8,-3575567.613,735983.9037,7260895.478999999,6912429.675,,6070173.257,Aceptado
953951.0315,13341583.52,2496878.381,,,-10880101.13,7056348.156,81463.89267999999,761710.6431,2073766.407,,259367.1607,,73314264.47,19514886.82,22766954.39,Aceptado
57155.677189999995,1633609.9740000002,1429742.208,,658574.0359,6695956.281,8049662.692000001,,535209.041,60080.81786,206457.8763,-3238683.854,,,2716168.5939999996,3472763.9910000004,Aceptado
2398005.776,28851889.94,6799360.109,12462877.88,2818744.16,-3938486.068,24397033.6,492840.47,987931.4972,419111.7324,13540780.38,-859789.2347,182867869.2,154401141.5,32916471.73,34989061.79,Aceptado
2723236.353,12753417.92,3065788.4710000004,3176916.341,1525805.642,-7178875.517999999,18699516.13,123971.8476,1811801.1269999999,246754.1289,8397968.557,,,130640663.8,9032245.837000001,,Sospechoso
56621.52335,139094.8754,95421.48122,9446.926311,20775.71768,4645544.664,179635.5619,84209.4702,14392.047719999999,6979853.54,-15125006.44,1108701.973,1298204.117,,4123377.205,,Aceptado
1165368.633,31989110.19,18110031.51,698807.9665,908658.3459999999,,34319385.92,,2939802.498,3428242.075,16096851.22,-3609689.595,179771705.4,,29083006.58,24359612.55,Sospechoso
2352538.214,16604379.78,5649665.801,1405903.5880000002,1232940.547,-4813215.852,26765768.04,,3243509.768,3083595.7430000002,1864665.27,-2430921.392,80732549.55,166654178.1,23715817.21,18898579.7,Aceptado
,746769.4029999999,10358860.7,50555.85119,96075.7225,8226437.147000001,1250112.639,274884.0337,,3048690.8589999997,-4594941.972,-190185.0442,12612056.54,2850707.693,2966227.45,7463603.74,Aceptado
63026.08112,83034.32771,372473.085,11159.02994,,,,16380.31134,5363.826228,610822.6967,-7907901.627,1092697.064,16840928.58,1563491.07,2659886.273,,Aceptado
392071.2456,10424452.53,,856517.2283,205017.2016,7085220.384,24648456.03,201617.8088,432244.0909,5778065.583,,-1444813.325,23730936.87,21806484.42,13068470.18,23206747.37,Aceptado
135049.3187,,304341.2176,,715401.4777,-74081.40216,2435784.924,36741.76881,437590.3318,53983.27621,2503812.214,-2454034.056,19650160.77,16190351.79,1887787.6519999998,3584596.8210000005,Aceptado
108326.87,1507658.044,6188618.987000001,89085.02976,656229.1617,,3702779.6610000003,,425207.5877,,791021.0858,-4483554.27,43611209.54,27762519.32,2040236.0880000002,3767587.5960000004,Aceptado
638154.5341,1651658.404,3444836.479,,928464.6305,5513841.069,7166795.775,227371.1755,365727.0318,1325238.326,-8390453.681,-2216362.4480000003,23478390.1,41219868.26,,,Aceptado
1522542.3669999999,22326838.0,26716450.79,,2358086.116,4807866.369,40094114.09,3351968.671,2792391.6989999996,12801846.73,5500072.624,,127826803.0,584032710.6,29918717.54,35415197.19,Aceptado
1623087.494,12223659.84,,9673154.439,3194647.3619999997,-4495581.196,3838984.545,,2806441.253,1276132.335,12176468.66,-1334803.1570000001,93947183.13,33681372.22,2455832.901,6606397.937999999,Aceptado
154078.9747,69353.39237999999,580005.5415,33485.38995,416547.172,3689456.19,231361.4727,41831.753260000005,,,-14750568.43,-1227102.165,2345522.749,13864125.66,704974.0069,1900446.031,Aceptado
2109291.976,,21255275.99,19393360.37,,-43752.26522,79192738.58,,433367.6313,966282.5290000001,19666715.49,-604798.0587,408645285.7,177643744.8,88849733.85,,Aceptado
1495716.504,2583913.579,10263712.45,333952.5495,233546.7406,6061448.029,7073880.759,,1416417.0280000002,10661237.49,-8411531.603,,28785716.68,4408067.869,,12765246.07,Aceptado
320780.1165,11707031.86,9124352.431,240772.3563,575984.634,6268167.602999999,15991320.64,214105.4584,22961.40108,6159339.321,-4227571.214,321947.6174,53660460.59,,26878171.05,42358541.79,Aceptado
2042486.611,6048662.328,1517549.2019999998,5000280.912,,2539351.965,,300254.1955,313244.3973,,-10101761.21,962093.4619,39510421.8,31114821.02,13921922.18,26866860.53,Aceptado
418580.1319,21527126.29,,,1595479.1809999999,7055964.997,49820391.5,233663.8759,2817300.039,1281395.614,13219329.69,-4199132.952,277787232.5,87067750.73,19136937.45,20346756.79,Aceptado
475104.1931,12172000.22,,3607021.233,3931320.5560000003,4363683.276000001,16847589.68,78268.0289,2722588.8419999997,,-1014287.156,-95113.33015,126426466.7,59072165.42,22893246.38,,Aceptado
564576.6242,22642699.18,24852451.04,,1468341.351,,32793538.18,391876.7045,,3347873.577,13752335.21,-6689238.175,151538426.7,502901324.8,18025546.65,13528973.74,Aceptado
124356.0074,25943453.42,7414540.304,2143219.4159999997,501798.9532,,51411320.06,,1011564.995,889077.7454,7891550.797,-4324234.821,91707505.53,48109420.27,22312975.98,20361992.71,Aceptado
2915003.4,12881856.87,2777835.248,928635.6562,1003492.729,-7681321.837,11898313.29,324171.0132,5106183.891,4588227.884,5566620.556,-858368.6963,,37746632.01,,,Aceptado
712484.4015,11334749.28,846392.2942,2316947.219,2128513.9790000003,-1780099.959,11947425.88,869741.043,,4423991.3,,976521.4523,144923108.8,7018286.1389999995,15026498.4,14243499.55,Aceptado
509643.8496,10955794.87,4264590.395,,568052.8785,2016615.399,18265802.77,188527.8309,2267355.069,3963784.7610000004,5389734.783,-1945060.564,64049320.48,,6367306.555,,Aceptado
231950.0035,4193129.72,203084.4667,50367.94445,372943.9784,-6388174.379,615219.5011,141881.6986,438174.6545,1348700.9319999998,10167200.53,,,2013202.506,2732984.9910000004,3437515.6319999998,Aceptado
1766266.927,32241323.29,,681117.6651,,-4975220.483,,,3331598.4289999995,5591945.498,13991627.52,-2534623.1780000003,123442551.6,97607364.88,18367823.86,20111313.9,Aceptado
101903.4014,18391721.38,64512418.19,331012.7436,1010755.0290000001,8603895.926,,,,127626.5982,12361811.88,-8242819.632999999,245077589.1,211356776.6,11568319.16,10078578.06,Aceptado
3060425.57,79062817.64,23785778.3,1896766.481,1637435.148,-5208971.494,77727167.94,1657540.259,3922156.267,8771629.912999999,,-5112025.848,276886255.7,746420794.8,33424275.37,47472525.12,Aceptado
706532.8661,9760618.885,,554469.3473,2156578.356,5028004.703,26586054.83,245959.6917,3163788.0360000003,5129799.379,901202.993,-1681066.131,122100501.8,136550993.8,26102636.17,19166818.25,Aceptado
3470099.143,,21301585.78,3180572.019,2854710.852,,,412206.4661,,9703065.325,,820113.1939,357878557.9,102103596.4,58751879.19,70808464.74,Aceptado
5849753.756,22270469.47,28672.717610000003,,1394373.5869999998,,10917743.3,473221.2765,5143626.653,1099425.207,10786866.32,-2626912.387,44879259.38,102045153.9,9172238.897,,Sospechoso
532383.4668,10475628.16,,964629.1365,581556.0229999999,,7330902.869,334064.8721,431994.3595,1980884.044,1470097.176,,29531406.21,39363118.72,18653853.77,18269321.8,Aceptado
1650295.781,14098983.6,8259477.613,3170067.665,4287535.424,4724235.92,23294277.05,234807.2318,4070821.8260000004,8338519.098999999,119446.2448,918475.0523,190564505.6,,,,Aceptado
3092515.1939999997,,32664884.64,,1088615.476,1696407.261,102578446.8,1658412.858,10141101.16,,12392927.4,-3950013.417,208188652.2,295074562.9,58639848.79,39682854.29,Aceptado
3284617.82,1157417.578,51889.99284,497179.9887,1268711.206,-11401873.38,221690.5235,146137.1967,,,5036649.494,1207952.707,53182890.63,1398491.811,5813009.951,6696991.614,Aceptado
6238972.312000001,88589498.7,25268303.48,12297744.46,5657226.257,-4380766.633,,,4143281.459,6232231.741,14294985.41,-76316.92021,465601517.6,1031129865.0,105125578.9,,Aceptado
733528.2473,14640524.55,16719713.73,504058.7628,2063480.358,5972632.07,26117708.94,222195.9635,,9131227.057,,635896.4246,119811806.8,93294129.88,50081070.37,39868739.38,Aceptado
,112668.2522,331248.4916,96085.21457000001,1260890.354,6858110.035,352281.3749,64906.26797000001,,414054.5845,,728658.358,14306337.64,6152983.272999999,7639187.107000001,3383474.876,Aceptado
2741392.829,4171549.083,2813408.1139999996,1241380.787,1112251.064,-2577196.994,5245075.681,158770.9756,,2616790.624,-2737116.0889999997,343028.0727,46521766.14,16724428.22,,8774264.295,Aceptado
,4467347.614,719933.8728,,1080163.172,-6750832.857999999,7982458.9860000005,170887.5473,9774539.415,1759189.261,6577083.668,-3594910.17,51870198.45,,,1155647.303,Sospechoso
163136.3184,3135272.298,2431903.492,827488.0454,844878.4548,6323700.376,5982067.058999999,161583.9426,221357.9078,954499.9556,-3875038.827,-145551.5604,32060138.68,14034307.5,11460875.66,12282917.55,Aceptado
59916.02855,10037635.18,1688342.612,1435590.7759999998,288343.4826,4732212.9569999995,,143362.9407,,,6428725.937000001,-3836795.1489999997,36815569.27,19574253.02,,9009414.143,Aceptado
,1522392.919,8439046.658,117375.5718,620748.796,8079312.567000001,7105460.0879999995,116495.8138,350487.3252,2004059.6230000001,-7752790.376,-1611549.858,,27273241.61,12463658.36,10134914.67,Aceptado
