EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS
1402839.424,44583071.51,17579093.5,1648525.183,502786.0965,1050457.857,53144319,2076977.724,5822111.377,12356294.77,11801150.03,-4952368.882,93509292.05,148561316,20264583.45,25444134.56
185096.114,11144636.79,36407677.13,421473.2498,2913787.137,,,70954.46724,2403460.29,134878.1762,9051637.894,-6260909.512,195888893.9,490122508.5,18922974.36,
8055658.402,83094868.07,7723528.23,118719192.2,5021465.592,-11973360.6,81723630.93,948203.4374,20563126.26,246149.6154,,-5931161.055,,667605061.3,26617184.75,
98432.31783,5876109.56,3991008.27,584796.2191,40727.40004,5300207.656,16434719.41,,1232946.504,371033.5507,9367406.888,-4511668.559,,,9875364.808,6535523.691
,23696999.62,36624028.71,,3222505.914,,50356975.02,566844.6252,7996380.161,13546475.65,8604878.929,-192453.0126,339766638.6,93545090.01,,29035672.5
,,19395.0844,1117797.43,178000.769,,4211877.876,85261.83883,3906267.107,457365.162,-3728542.131,-3703768.248,3040521.318,3599902.786,,235474.748
292910.2297,,5694064.747,243791.6277,513941.2896,1913973.601,12441655.17,124048.462,198416.5172,,,-1750636.757,72197368.43,31511650.58,9679323.344,21517347.18
420712.0685,6949278.72,13155414.38,589494.7445,1741775.342,6581424.642,,39590.94693,,922848.729,-4280945.88,-458881.7975,95146235.34,76074980.98,24916264.64,27901464.63
117405.0183,1577428.81,1094960.888,967399.1185,74643.20733,5556008.267,4845444.313,,4387241.966,2108454.448,-4977216.805,,1506788.047,16286886.57,,841977.2235
191440.8243,,13404166.81,474422.3522,448206.0216,7277252.706,31840650.46,144042.3381,30410.07887,917556.3838,-2691678.244,,74495792.98,75382713.44,40588922.94,38170033.92
,1353479.713,9402.575862,89414.8673,118601.3935,-9847258.066,,,201326.444,682224.8484,9759516.651,475258.8186,12869851.63,932851.2687,286381.7611,1464896.357
105685.4946,11646967.28,6950878.053,,514592.5606,4426614.406,19808599.6,173567.2013,3183753.36,109899.3749,11312118.06,-6918360.97,64562032.22,56316194.69,6482670.555,
,7424373.488,1072867.182,,1325290.442,4398821.025,19595574.34,215127.6404,460188.9919,173969.8785,6553506.067,-2007358.47,84634662.23,,,11155912.62
363051.2553,13975597.78,6735016.677,3078016.929,465855.3768,4786023.786,23468661.47,194318.2406,3234341.438,173542.4306,,-5096869.78,80853612.46,13777679.92,2481210.509,6022768.222
5032828.056,8561780.977,,23152.29331,538371.5883,-11361090.38,4333484.454,183698.0048,2552583.317,7656518.643,4705570.239,-1215433.923,81264766.64,74257411.07,11849955.55,
57098.18559,194719.0936,60458.79219,36109.41227,27117.23405,558628.8356,178877.9922,84765.7221,27423.3155,417925.7533,-6723219.811,-2674636.586,809470.0964,,656508.5913,1807744.005
